Names,inchikey,fingerprints
valylleucine,XCTHZFGSVQBHBW-UHFFFAOYSA-N,11100000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100100000000010010000000001000000000100000000101000100000000000000000001000001011000000000100100000000000000000000100010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3beta-hydroxy-5-cholestenoate,WVXOMPRLWLXFAP-AMQKJUDNSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000100000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000001000000000100010000000001000100000110100100000100000000000000000000000000000000000001000000000000000000000000000000000100000000001000000000000000000001000000000000001000000010010000000000000000100000000000000000100000000000000000001001100000000000000000010000000000000000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000
nicotinamide riboside,JLEBZPBDRKPWTD-TURQNECASA-O,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000110000010100111000011001101000000110001111001000000010010011010011000001011000000000101010000000001000110001011101110101010000000000100000101000000000100000001101010000001000100000000010001101100000100001001110000110010011011000000010110011000011111010110000001101010110010001100011100110000110001000011001111000000000000000110110111100100111000110111110000011000100000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3-(2-hydroxyphenyl)propionate,CJBDUOMQLFKVQC-UHFFFAOYSA-N,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000010000000000000000010001000100000000001000001100000100010001000000010000010011000110010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100010001110110010100100110011100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
glycoursodeoxycholate,GHCZAUBVMUEKKP-XROMFQGDSA-N,11110000011110100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001111000000000000100000000100000000000000000000000111100010100111000011000000000000110000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100001000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000001100110001110100011110100100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
"1,3,7-trimethylurate",BYXCFUMGEBZDDI-UHFFFAOYSA-N,11000000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011000000000000100000000110000000000000011110000000000000000000000100010000000000000000101010100000101000000000000100000000000000000000000000000000000000000000000000000000000000000000000100010000000000001000000100000000100000000000000000000000000000000100000000100000000000000000000000010000000011100100010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
hesperetin,AIONOLUJZLIMTK-AWEZNQCLSA-N,11000000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000110000010000000000000000000000000000000000000000000000000000000100100010100000000000000000000000001101000000000000000000000100000000000000000000000110000010100101000001001100000000010001100100000011010000000000000000000011000000000100010000000001010100000010100100000000000000000000000100000100000000000001001000010000000000000000010001000100000000001000001101000100011001000000011010010011100110110100001100011010100011010100000100111100101100011101001011110000000010101000010111011100100000111110010001110110011111100110011100010000000000000000000010000100000000000000010000100000000000000010000000000000000000010000100000000000000010000100000000000000000000000000000000000000000000000000000000
nicotinate ribonucleoside,PUEDDPCUCPRQNY-ZYUZMQFOSA-O,11000000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000000000000100000000000000000000000110000010100111000011001101000000110001111001000100010010011000011000001011000000000101010000000001000110000111101110100110000000000100000101000000000100000001101010000001000100000000010001101100000100001001110000110110011011000000010110011011011111010110000001001010110010001100011100111000110001000011001111100000000000001110110111101100111000110111110000011000100000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
apigenin,KZNIFHPLKGYRTM-UHFFFAOYSA-N,11000000011100000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000000000000100000010100000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000011010000000000000000000011000000000100010000000001010100000010100100000000000000000000000100000100000000000001001000010000000000000000010001000100000000001000001100000100011001000000011000010011100110110100001100011010100011010100000100111100101100000101001011110000000010101000010001011100100000111100010001110110010101100110011100010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000
1-linoleoyl-GPE (18:2)*,DBHKHNGBVGWQJE-USWSLJGRSA-N,11110000011110100011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000100000010100111000011000000000000110000000100000100000000000010000000000011100010000100010000100000000100000110100100000100010000000000000000000000000000000001000000000000000000000000010000000100010000001000000000000000000001000000000110001000000010010000000000000000100000000000000100000000000000000000001011001000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
