,inchikey,hmdb,kegg,fingerprints
C00003_NAD+,BAWFJGJZGIEFAR-NNYOXOHSSA-O,HMDB0000902,C00003,11100000011110111011110000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010001001000000000000000001011000101100000000000000000000000000000000000000000000000000001011000000000011111111000000000000000000001111000000000000100000000100000100000000000000000110000011100111000011001111100000110001111011111000010111111010011000001011100010000101010000100001100110111011101110111010010000000100000101000000000101101001101010001001010100000000010011101100000100001001110000111010011011000100010110111100011111010110000001101110111010001100111100110010110001000011011111000000000000010110110111100100111100110111110000011000100000010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C03139_Guanidinosuccinate,VVHOUVWJCQOYGG-REOHCLBHSA-N,HMDB0003157,C03139,11000000011000110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000000000000000000001100000000000000000000000000000100000000000011000000000000000000000000000000000000100000000000000000001100000000000000000000000000000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C04294_4-Methyl-5-thiazoleethanol,BKAWJIRCKVUVED-UHFFFAOYSA-N,HMDB0032985,C04294,11000000011000100010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000100000000000000100000000000000000000000100000001000101000011101011000000110100001101000000100010010000010000001001000001000101001000000000100000100011000010100010000000000000000001111000010100000011100010000100000111000000000000101100000010100001110000100000000001000000000000011000000000010011000001000000000000000000001000100000000000000001001000100000000000001010010000100100000000010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C16741_5-Hydroxylysine,YSMODUONRAFBET-UHNVWZDZSA-N,HMDB0000450,C16741,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111000011000000000000110000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100001000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000001101110000110110000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00147_Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,HMDB0000034,C00147,10000000011000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001110000000000000100000000000000000000000000000000100000001000000000010001011100000100000001011111000010111110110010011001000000000000101000000000000100000110011000010110010000000000100000001000000000101101100100010001000010100000000000010101000110100000001010000101010000010000100000000100100000000000010000000100100001000000000101000000010000001000000010000000000000000010010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02678_Dodecanedioate,TVIDDXQYHWJXFK-UHFFFAOYSA-N,HMDB0000623,C02678,11100000011100000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00571_Cyclohexylamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,HMDB0031404,C00571,11000000011000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000100000000000000000000000000000000100000101000110000010000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00864_Pantothenate,GHOKWGTUZJEAQD-ZETCQYMHSA-N,HMDB0000210,C00864,11100000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000111000010100111000011000000000000110000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000010000000000000000000000000000000000000000000000000000000000000000010000001010010000000000000000000000000100001000000011000000000001000000000000000000001000100000000000000000001110001011000000000100100000000000000000000001000100000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C05122_Taurocholate,FZLMIZAHBFKTSH-IECFWMJSSA-N,HMDB0000036,C05122,11110000011110100011110000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001111000000000000100000000100000000000000000000000111100010100111000011000000000000110000000100000000000000010110000000000001010000000000010000000000000000001000100000001000000110000000000000000000000000000000000000000000000000000000000000000000010000001000010000000000000000000000000100001000000010010000000001000000000000000000001000100000000000000000001000001011000000000100100000000000000000001100110001110100011110100100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
C00148_Pro,ONIBWKKTOPOVIA-BYPYZUCNSA-N,HMDB0000162,C00148,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000010110000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001000000000000100100000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
